Job Role,Skill,Percentage
programmer consultant,need,8.41
programmer consultant,quality assurance,8.41
programmer designer,R,100.0
programmer designer,engineer,14.71
programmer designer,technology,14.16
programmer designer,electrical,10.08
programmer designer,portfolio,9.69
programmer designer,certify,9.33
programmer designer,quality assurance,8.88
programmer designer,problemsolving communication,8.64
programmer designer,assurance,8.32
programmer designer,computer science,8.21
programmer developer,Excel,100.0
programmer developer,AWS,100.0
programmer developer,SQL,100.0
programmer developer,Docker,100.0
programmer developer,R,100.0
programmer developer,IBM,100.0
programmer developer,Python,100.0
programmer developer,Azure,100.0
programmer developer,Kubernetes,100.0
programmer developer,GAN,100.0
programmer manager,R,100.0
programmer manager,estimate,12.54
programmer manager,commitment,11.39
programmer manager,job,10.57
programmer manager,quality control,10.57
programmer manager,center,10.04
programmer manager,safety,9.69
programmer manager,machine,9.14
programmer manager,troubleshoot,8.97
programmer manager,high,8.7
programmer operator,R,100.0
programmer operator,Excel,100.0
programmer operator,GAN,100.0
programmer operator,machine,20.69
programmer operator,program,17.89
programmer operator,operation,11.87
programmer operator,drawings,8.29
programmer operator,control,8.08
programmer operator,tool,6.94
programmer operator,stock,6.89
programmer programmer,R,100.0
programmer programmer,Python,100.0
programmer programmer,Tableau,100.0
programmer programmer,Azure,100.0
programmer programmer,Power BI,100.0
programmer programmer,SQL,100.0
programmer programmer,data,23.35
programmer programmer,bi,10.88
programmer programmer,science,10.5
programmer programmer,sql,9.43
researcher,Regression,100.0
researcher,Sustainability,100.0
researcher,LSTM,100.0
researcher,Tableau,100.0
researcher,SVM,100.0
researcher,Pattern,100.0
researcher,Hadoop,100.0
researcher,Matrix,100.0
researcher,TensorFlow,100.0
researcher,Generative Adversarial Network,100.0
researcher analyst,R,100.0
researcher analyst,analysis,15.63
researcher analyst,experience customer,11.32
researcher analyst,experience,10.79
researcher analyst,remote,9.77
researcher analyst,hybrid,9.36
researcher analyst,stakeholder management,9.36
researcher analyst,map,9.05
researcher analyst,user,8.29
researcher analyst,stakeholder,8.24
researcher data,R,100.0
researcher data,Python,100.0
researcher data,PyTorch,100.0
researcher data,TensorFlow,100.0
researcher data,GAN,100.0
researcher data,SAS,100.0
researcher data,Excel,100.0
researcher data,data,18.19
researcher data,research,16.61
researcher data,information,11.02
researcher data analyst,R,100.0
researcher data analyst,SAS,100.0
researcher data analyst,data,21.18
researcher data analyst,survey,14.99
researcher data analyst,evaluation,12.89
researcher data analyst,research,9.21
researcher data analyst,clean,7.91
researcher data analyst,development,7.87
researcher data analyst,analysis,7.28
researcher data analyst,interpretation,6.36
researcher manager,R,100.0
researcher manager,GAN,100.0
researcher manager,Ethics,100.0
researcher manager,research,35.65
researcher manager,experience,13.01
researcher manager,master,7.91
researcher manager,master degree,7.75
researcher manager,team,7.29
researcher manager,agile,6.29
researcher manager,legal,5.78
researcher researcher,R,100.0
researcher researcher,GAN,100.0
researcher researcher,Excel,100.0
researcher researcher,equipment,12.47
researcher researcher,techniques,11.58
researcher researcher,research,10.76
researcher researcher,experience,10.56
researcher researcher,culture,10.08
researcher researcher,data,9.9
researcher researcher,relevant,9.7
sales,Sustainability,100.0
sales,Tableau,100.0
sales,chatbot,100.0
sales,Pattern,100.0
sales,Hadoop,100.0
sales,Matrix,100.0
sales,Django,100.0
sales,MongoDB,100.0
sales,Threats,100.0
sales,Excel,100.0
sales accountant,R,100.0
sales accountant,AWS,100.0
sales accountant,Excel,100.0
sales accountant,GAN,100.0
sales accountant,tax,42.85
sales accountant,return,17.81
sales accountant,sales,8.55
sales accountant,account,8.14
sales accountant,compliance,5.97
sales accountant,certificate,3.46
sales administrator,R,100.0
sales administrator,Azure,100.0
sales administrator,Power BI,100.0
sales administrator,Excel,100.0
sales administrator,GAN,100.0
sales administrator,sales,16.54
sales administrator,microsoft,15.85
sales administrator,management,12.17
sales administrator,contract,9.78
sales administrator,administration,8.72
sales administrator manager,R,100.0
sales administrator manager,management,16.36
sales administrator manager,customer,11.0
sales administrator manager,microsoft,10.14
sales administrator manager,data,9.13
sales administrator manager,motivation,9.09
sales administrator manager,customer service communication,9.02
sales administrator manager,customer relationship management,8.95
sales administrator manager,customer relationship,8.82
sales administrator manager,service communication,8.75
sales analyst,Sustainability,100.0
sales analyst,Tableau,100.0
sales analyst,Excel,100.0
sales analyst,Ethics,100.0
sales analyst,Google Cloud,100.0
sales analyst,adobe,100.0
sales analyst,AWS,100.0
sales analyst,SQL,100.0
sales analyst,Docker,100.0
sales analyst,R,100.0
sales analyst manager,R,100.0
sales analyst manager,GAN,100.0
sales analyst manager,Excel,100.0
sales analyst manager,sales,16.23
sales analyst manager,analysis,15.4
sales analyst manager,management,13.39
sales analyst manager,business,10.0
sales analyst manager,data,8.97
sales analyst manager,plan,7.69
sales analyst manager,analytical,7.54
sales auditor,R,100.0
sales auditor,Excel,100.0
sales auditor,Spark,100.0
sales auditor,Ethics,100.0
sales auditor,tax,30.19
sales auditor,account,14.94
sales auditor,audit,13.11
sales auditor,finance,8.7
sales auditor,account principles,6.3
sales auditor,account finance,5.89
sales banking,R,100.0
sales banking,management,18.86
sales banking,sales,16.32
sales banking,target,11.7
sales banking,development,10.06
sales banking,case management,7.85
sales banking,account,7.77
sales banking,systems,7.7
sales banking,insurance pay,6.86
sales banking,loan,6.44
sales consultant,Sustainability,100.0
sales consultant,Tableau,100.0
sales consultant,Pattern,100.0
sales consultant,Matrix,100.0
sales consultant,GAN,100.0
sales consultant,Excel,100.0
sales consultant,Ethics,100.0
sales consultant,Google Cloud,100.0
sales consultant,Cybersecurity,100.0
sales consultant,adobe,100.0
sales consultant accountant,R,100.0
sales consultant accountant,insurance,17.39
sales consultant accountant,sales,14.82
sales consultant accountant,benefit,11.8
sales consultant accountant,time,8.89
sales consultant accountant,dental insurance vision,7.93
sales consultant accountant,lead generation,7.93
sales consultant accountant,insurance dental insurance,7.86
sales consultant accountant,insurance vision insurance,7.79
sales consultant accountant,insurance dental,7.79
sales consultant manager,Sustainability,100.0
sales consultant manager,R,100.0
sales consultant manager,sales,17.0
sales consultant manager,plan,10.74
sales consultant manager,pay,10.39
sales consultant manager,health,9.64
sales consultant manager,sell,9.18
sales consultant manager,pay holiday,9.02
sales consultant manager,sales customer,8.64
sales consultant manager,pension,8.64
sales consultant sales,R,100.0
sales consultant sales,Excel,100.0
sales consultant sales,sales,21.1
sales consultant sales,management,11.84
sales consultant sales,microsoft,9.49
sales consultant sales,service,9.19
sales consultant sales,communication,9.09
sales consultant sales,license,9.03
sales consultant sales,office,8.09
sales consultant sales,customer service,7.57
sales data,Hadoop,100.0
sales data,Excel,100.0
sales data,Ethics,100.0
sales data,Google Cloud,100.0
sales data,adobe,100.0
sales data,AWS,100.0
sales data,R,100.0
sales data,IBM,100.0
sales data,Azure,100.0
sales data,Snowflake,100.0
sales data analyst,R,100.0
sales data analyst,Power BI,100.0
sales data analyst,Excel,100.0
sales data analyst,microsoft,16.97
sales data analyst,data,15.29
sales data analyst,analysis,13.13
sales data analyst,data analysis,8.95
sales data analyst,power bi,8.51
sales data analyst,bi,8.31
sales data analyst,power,7.84
sales designer,R,100.0
sales designer,Excel,100.0
sales designer,GAN,100.0
sales designer,sales,23.92
sales designer,kitchen,12.61
sales designer,management,10.8
sales designer,communication,8.35
sales designer,experience,7.92
sales designer,software,7.89
sales designer,customer service,7.75
sales developer,R,100.0
sales developer,sales,21.35
sales developer,client relations,10.6
sales developer,interpersonal communication,9.44
sales developer,relations,9.2
sales developer,relationship build,8.97
sales developer,negotiation,8.6
sales developer,strategy,8.4
sales developer,client,8.03
sales developer,relationship,7.85
sales manager,Regression,100.0
sales manager,Sustainability,100.0
sales manager,Tableau,100.0
sales manager,Pattern,100.0
sales manager,Matrix,100.0
sales manager,MongoDB,100.0
sales manager,Threats,100.0
sales manager,Excel,100.0
sales manager,Spark,100.0
sales manager,Ethics,100.0
sales manager data,R,100.0
sales manager data,Excel,100.0
sales manager data,sales,22.29
sales manager data,customer,17.3
sales manager data,sales management,9.03
sales manager data,analysis,8.46
sales manager data,market,7.96
sales manager data,center,7.81
sales manager data,growth,7.25
sales manager data,relationships,6.85
sales manager developer,R,100.0
sales manager developer,sales,17.32
sales manager developer,leave,11.57
sales manager developer,initiative,11.49
sales manager developer,flexible,10.99
sales manager developer,performance,9.31
sales manager developer,program,8.37
sales manager developer,market,8.25
sales manager developer,plan,8.21
sales manager developer,mental,7.28
sales manager manager,Sustainability,100.0
sales manager manager,R,100.0
sales manager manager,Excel,100.0
sales manager manager,sales,24.5
sales manager manager,sales management,18.04
sales manager manager,management,13.23
sales manager manager,customer,7.9
sales manager manager,proactive,6.43
sales manager manager,market,6.36
sales manager manager,inventory,6.03
sales manager sales,R,100.0
sales manager sales,Excel,100.0
sales manager sales,GAN,100.0
sales manager sales,sales,26.84
sales manager sales,management,13.9
sales manager sales,customer,7.94
sales manager sales,customer relationship management,7.6
sales manager sales,relationship,7.55
sales manager sales,customer relationship,7.49
sales manager sales,plan,7.48
sales marketing,R,100.0
sales marketing,adobe,100.0
sales marketing,AWS,100.0
sales marketing,GAN,100.0
sales marketing,SQL,100.0
sales marketing,Excel,100.0
sales marketing,Ethics,100.0
sales marketing,sales,25.37
sales marketing,market,18.72
sales marketing,management,13.87
sales marketing administrator,R,100.0
sales marketing administrator,adobe,100.0
sales marketing administrator,Excel,100.0
sales marketing administrator,GAN,100.0
sales marketing administrator,management,15.15
sales marketing administrator,energy,14.42
sales marketing administrator,management systems,9.33
sales marketing administrator,systems,9.27
sales marketing administrator,microsoft office,9.01
sales marketing administrator,content,8.94
sales marketing analyst,Tableau,100.0
sales marketing analyst,Excel,100.0
sales marketing analyst,AWS,100.0
sales marketing analyst,SQL,100.0
sales marketing analyst,R,100.0
sales marketing analyst,Python,100.0
sales marketing analyst,Azure,100.0
sales marketing analyst,Power BI,100.0
sales marketing analyst,SAS,100.0
sales marketing analyst,analysis,14.77
sales marketing consultant,R,100.0
sales marketing consultant,Excel,100.0
sales marketing consultant,market,26.87
sales marketing consultant,sales,12.54
sales marketing consultant,train,10.11
sales marketing consultant,content,8.55
sales marketing consultant,social media,8.55
sales marketing consultant,google,7.81
sales marketing consultant,media,7.71
sales marketing consultant,social,7.53
sales marketing manager,R,100.0
sales marketing manager,adobe,100.0
sales marketing manager,Tableau,100.0
sales marketing manager,AWS,100.0
sales marketing manager,Excel,100.0
sales marketing manager,GAN,100.0
sales marketing manager,market,22.36
sales marketing manager,sales,22.16
sales marketing manager,sales market,12.67
sales marketing manager,management,12.01
sales marketing marketing consultant,R,100.0
sales marketing marketing consultant,Excel,100.0
sales marketing marketing consultant,GAN,100.0
sales marketing marketing consultant,invoice,11.8
sales marketing marketing consultant,continuous improvement,11.12
sales marketing marketing consultant,purchase,10.38
sales marketing marketing consultant,continuous,10.3
sales marketing marketing consultant,write verbal,10.23
sales marketing marketing consultant,order,9.69
sales marketing marketing consultant,concepts,9.26
sales operator,R,100.0
sales operator,sales,14.26
sales operator,crm,12.4
sales operator,network,10.48
sales operator,management,9.74
sales operator,business,9.7
sales operator,account management,8.9
sales operator,client,8.88
sales operator,business development,8.85
sales operator,relationship,8.69
sales sales,R,100.0
sales sales,Python,100.0
sales sales,GAN,100.0
sales sales,SQL,100.0
sales sales,Excel,100.0
sales sales,Ethics,100.0
sales sales,sales,26.54
sales sales,customer,11.97
sales sales,service,9.99
sales sales,management,9.21
sales sales manager,R,100.0
sales sales manager,Excel,100.0
sales sales manager,return,15.81
sales sales manager,statement,14.59
sales sales manager,sales,14.23
sales sales manager,microsoft,11.64
sales sales manager,loss,8.06
sales sales manager,profit,7.83
sales sales manager,call,7.18
sales sales manager,sheet,6.96
